date,season,stage,match_number,Team 1,Team 2,city,venue,Team 1 Players,Team 2 Players,toss winner,decision from toss,Umpire 1,Umpire 2,tv_umpires,reserve_umpires,match_referees,winner,loser,won by (runs),won by (wickets),was result?,used D/L,player_of_match
2014-03-30,2013/14,Group B,16.0,England,Sri Lanka,,Sylhet Stadium,"['SJ Taylor', 'CM Edwards', 'HC Knight', 'LS Greenway', 'NR Sciver', 'AE Jones', 'JL Gunn', 'GA Elwiss', 'D Hazell', 'A Shrubsole', 'RL Grundy']","['AC Jayangani', 'BYA Mendis', 'HMD Rasangika', 'HASD Siriwardene', 'PRCS Kumarihami', 'LE Kaushalya', 'SS Weerakkody', 'KDU Prabodhani', 'I Ranaweera', 'HAM Samuddika', 'RS Vandort']",Sri Lanka,bat,BF Bowden,S Ravi,,PR Reiffel,RS Mahanama,England,Sri Lanka,,7.0,,,A Shrubsole
2014-03-31,2013/14,Group A,17.0,Ireland,Pakistan,,Sylhet Stadium,"['CMA Shillington', 'MV Waldron', 'IMHC Joyce', 'EJ Tice', 'MEMO Scott-Hayward', 'CNIM Joyce', 'J Gray', 'EAJ Richardson', 'LN McCarthy', 'AJ Kenealy', ""LK O'Reilly""]","['Javeria Khan', 'Nain Abidi', 'Nida Dar', 'Qanita Jalil', 'Bismah Maroof', 'Sana Mir', 'Nahida Khan', 'Asmavia Iqbal', 'Batool Fatima', 'Sumaiya Siddiqi', 'Anam Amin']",Pakistan,bat,BF Bowden,RK Illingworth,,REJ Martinesz,J Srinath,Pakistan,Ireland,14.0,,,,Bismah Maroof
2014-03-31,2013/14,Group A,18.0,New Zealand,South Africa,,Sylhet Stadium,"['SW Bates', 'SFM Devine', 'SJ McGlashan', 'KT Perkins', 'RH Priest', 'NJ Browne', 'KJ Martin', 'FL Mackay', 'ML Green', 'HNK Jensen', 'MJG Nielsen']","['L Lee', 'D van Niekerk', 'T Chetty', 'M du Preez', 'M Kapp', 'CL Tryon', 'SA Fritz', 'S Luus', 'S Ismail', 'S Loubser', 'M Daniels']",New Zealand,bat,NJ Llong,REJ Martinesz,,RK Illingworth,J Srinath,South Africa,New Zealand,,5.0,,,M du Preez
2014-04-01,2013/14,Group B,19.0,Bangladesh,Sri Lanka,,Sylhet Stadium,"['Ayasha Rahman', 'Sharmin Akhter', 'Salma Khatun', 'Lata Mondal', 'Rumana Ahmed', 'Sanjida Islam', 'Shamima Sultana', 'Fahima Khatun', 'Shohely Akhter', 'Panna Ghosh', 'Jahanara Alam']","['BYA Mendis', 'GWHM Perera', 'AC Jayangani', 'HASD Siriwardene', 'PRCS Kumarihami', 'LE Kaushalya', 'SS Weerakkody', 'KDU Prabodhani', 'HAM Samuddika', 'HHC Gunaratne', 'RS Vandort']",Bangladesh,bat,NJ Llong,S Ravi,,PR Reiffel,RS Mahanama,Bangladesh,Sri Lanka,3.0,,,,Rumana Ahmed
2014-04-01,2013/14,Group B,20.0,India,West Indies,,Sylhet Stadium,"['M Raj', 'PG Raut', 'S Mandhana', 'H Kaur', 'J Goswami', 'SK Naidu', 'KV Jain', 'A Das', 'S Sharma', 'Poonam Yadav', 'G Sultana']","['Kycia A Knight', 'SR Taylor', 'DJS Dottin', 'SACA King', 'SA Campbelle', 'Kyshona A Knight', 'CA Henry', 'A Mohammed', 'SC Selman', 'TD Smartt', 'SF Daley']",West Indies,bat,RK Illingworth,PR Reiffel,,NJ Llong,RS Mahanama,India,West Indies,,9.0,,,PG Raut
2014-04-02,2013/14,Play-Off,,New Zealand,Sri Lanka,,Sylhet Stadium,"['SW Bates', 'SFM Devine', 'SJ McGlashan', 'KT Perkins', 'RH Priest', 'NJ Browne', 'KJ Martin', 'SRH Curtis', 'FL Mackay', 'MJG Nielsen', 'FC Leydon-Davis']","['BYA Mendis', 'PRCS Kumarihami', 'AC Jayangani', 'HASD Siriwardene', 'OU Ranasinghe', 'LE Kaushalya', 'SS Weerakkody', 'KDU Prabodhani', 'I Ranaweera', 'HHC Gunaratne', 'RS Vandort']",Sri Lanka,bat,NJ Llong,S Ravi,,RK Illingworth,J Srinath,New Zealand,Sri Lanka,,6.0,,,RH Priest
2014-04-02,2013/14,Play-Off,,India,Pakistan,,Sylhet Stadium,"['PG Raut', 'S Mandhana', 'M Raj', 'J Goswami', 'S Pandey', 'Soniya Dabir', 'Poonam Yadav', 'S Sharma', 'KV Jain', 'SK Naidu', 'G Sultana']","['Javeria Khan', 'Nain Abidi', 'Nahida Khan', 'Qanita Jalil', 'Bismah Maroof', 'Sana Mir', 'Sania Khan', 'Asmavia Iqbal', 'Nida Dar', 'Batool Fatima', 'Anam Amin']",India,bat,BF Bowden,RK Illingworth,,PR Reiffel,J Srinath,India,Pakistan,6.0,,,,Soniya Dabir
2014-04-03,2013/14,Semi Final,,Australia,West Indies,Mirpur,Shere Bangla National Stadium,"['EJ Villani', 'JL Jonassen', 'MM Lanning', 'EA Perry', 'AJ Blackwell', 'JE Cameron', 'AJ Healy', 'EA Osborne', 'SJ Coyte', 'RM Farrell', 'JL Hunter']","['Kycia A Knight', 'SR Taylor', 'DJS Dottin', 'SACA King', 'MR Aguilleira', 'SA Campbelle', 'SL Quintyne', 'A Mohammed', 'SF Daley', 'SC Selman', 'TD Smartt']",Australia,bat,Aleem Dar,M Erasmus,HDPK Dharmasena,IJ Gould,RS Madugalle,Australia,West Indies,8.0,,,,EA Osborne
2014-04-03,2013/14,7th Place Play-Off,,Pakistan,Sri Lanka,,Sylhet Stadium,"['Javeria Khan', 'Marina Iqbal', 'Nida Dar', 'Bismah Maroof', 'Sana Mir', 'Asmavia Iqbal', 'Qanita Jalil', 'Sidra Ameen', 'Batool Fatima', 'Sania Khan', 'Anam Amin']","['BYA Mendis', 'PRCS Kumarihami', 'AC Jayangani', 'HASD Siriwardene', 'GWHM Perera', 'LE Kaushalya', 'OU Ranasinghe', 'KDU Prabodhani', 'NND de Silva', 'I Ranaweera', 'RS Vandort']",Pakistan,bat,NJ Llong,PR Reiffel,,RK Illingworth,J Srinath,Pakistan,Sri Lanka,14.0,,,,Bismah Maroof
2014-04-03,2013/14,9th Place Play-Off,,Bangladesh,Ireland,,Sylhet Stadium,"['Ayasha Rahman', 'Sharmin Akhter', 'Salma Khatun', 'Lata Mondal', 'Rumana Ahmed', 'Shaila Sharmin', 'Fahima Khatun', 'Shamima Sultana', 'Panna Ghosh', 'Jahanara Alam', 'Khadija Tul Kubra']","['CMA Shillington', 'MV Waldron', 'IMHC Joyce', 'EJ Tice', 'CNIM Joyce', 'MEMO Scott-Hayward', 'J Gray', 'L Delany', 'LN McCarthy', 'AJ Kenealy', ""LK O'Reilly""]",Bangladesh,bat,RK Illingworth,S Ravi,,BF Bowden,J Srinath,Bangladesh,Ireland,17.0,,,,Panna Ghosh
