date,season,stage,match_number,Team 1,Team 2,city,venue,Team 1 Players,Team 2 Players,toss winner,decision from toss,Umpire 1,Umpire 2,tv_umpires,reserve_umpires,match_referees,winner,loser,won by (runs),won by (wickets),was result?,used D/L,player_of_match
2018-11-17,2018/19,Group B,18.0,Ireland,New Zealand,Guyana,Providence Stadium,"['CMA Shillington', 'CNIM Joyce', 'GH Lewis', 'IMHC Joyce', 'L Delany', 'SM Kavanagh', 'EAJ Richardson', 'KJ Garth', 'MV Waldron', 'L Maritz', 'CJ Metcalfe']","['SW Bates', 'SFM Devine', 'AE Satterthwaite', 'KJ Martin', 'ML Green', 'LM Kasperek', 'B Bezuidenhout', 'JM Watkin', 'HM Rowe', 'AC Kerr', 'LMM Tahuhu']",Ireland,bat,S Redfern,S George,L Rusere,CA Polosak,RB Richardson,New Zealand,Ireland,,8.0,,,SFM Devine
2018-11-18,2018/19,Group A,19.0,England,West Indies,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'SIR Dunkley', 'A Shrubsole', 'D Hazell', 'S Ecclestone', 'KL Gordon']","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'NY McLean', 'B Cooper', 'Kycia A Knight', 'CA Henry', 'ASS Fletcher', 'SC Selman', 'SS Connell']",West Indies,field,Nitin Menon,Kim Cotton,Ahsan Raza,Sharfuddoula,GF Labrooy,West Indies,England,,4.0,,,DJS Dottin
2018-11-18,2018/19,Group A,20.0,South Africa,Bangladesh,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['L Lee', 'D van Niekerk', 'M Kapp', 'S Luus', 'M du Preez', 'CL Tryon', 'F Tunnicliffe', 'M Klaas', 'TS Sekhukhune', 'M Daniels', 'Z Mali']","['Sharmin Akhter', 'Ayasha Rahman', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Jahanara Alam', 'Salma Khatun', 'Nahida Akter', 'Fahima Khatun', 'Ritu Moni', 'Khadija Tul Kubra']",Bangladesh,field,JM Williams,SJ Nogajski,Nitin Menon,Kim Cotton,GF Labrooy,South Africa,Bangladesh,30.0,,,,M Kapp
2018-11-22,2018/19,Semi Final,,Australia,West Indies,Antigua,"Sir Vivian Richards Stadium, North Sound","['BL Mooney', 'AJ Healy', 'MM Lanning', 'A Gardner', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'NY McLean', 'Kycia A Knight', 'B Cooper', 'CA Henry', 'ASS Fletcher', 'SS Connell', 'SC Selman']",West Indies,field,L Rusere,Nitin Menon,Ahsan Raza,S Redfern,GF Labrooy,Australia,West Indies,71.0,,,,AJ Healy
2018-11-22,2018/19,Semi Final,,India,England,Antigua,"Sir Vivian Richards Stadium, North Sound","['T Bhatia', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'V Krishnamurthy', 'DB Sharma', 'D Hemalatha', 'AA Patil', 'RP Yadav', 'A Reddy', 'Poonam Yadav']","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'A Shrubsole', 'SIR Dunkley', 'S Ecclestone', 'D Hazell', 'KL Gordon']",India,bat,CA Polosak,S George,GO Brathwaite,JM Williams,RB Richardson,England,India,,8.0,,,AE Jones
2018-11-24,2018/19,Final,,England,Australia,Antigua,"Sir Vivian Richards Stadium, North Sound","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'SIR Dunkley', 'A Shrubsole', 'D Hazell', 'S Ecclestone', 'KL Gordon']","['AJ Healy', 'BL Mooney', 'A Gardner', 'MM Lanning', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']",England,bat,L Rusere,S George,GO Brathwaite,Nitin Menon,RB Richardson,Australia,England,,8.0,,,A Gardner
2020-02-21,2019/20,Group A,1.0,Australia,India,Sydney,Sydney Showground Stadium,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'RL Haynes', 'A Gardner', 'EA Perry', 'JL Jonassen', 'A Sutherland', 'DM Kimmince', 'M Strano', 'ML Schutt']","['Shafali Verma', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'DB Sharma', 'V Krishnamurthy', 'S Pandey', 'T Bhatia', 'A Reddy', 'Poonam Yadav', 'RS Gayakwad']",Australia,field,JM Williams,S George,GO Brathwaite,Kim Cotton,BC Broad,India,Australia,17.0,,,,Poonam Yadav
2020-02-22,2019/20,Group B,2.0,Thailand,West Indies,Perth,W.A.C.A. Ground,"['N Chantam', 'N Boochatham', 'N Koncharoenkai', 'N Chaiwai', 'C Sutthiruang', 'S Tippoch', 'O Kamchomphu', 'W Liengprasert', 'R Padunglerd', 'S Laomi', 'S Lateh']","['HK Matthews', 'LAGL Kirby', 'SR Taylor', 'DJS Dottin', 'SA Campbelle', 'CN Nation', 'CA Henry', 'AA Alleyne', 'A Mohammed', 'ASS Fletcher', 'SS Connell']",Thailand,bat,CA Polosak,Nitin Menon,AG Wharf,Lauren Agenbag,GS Lakshmi,West Indies,Thailand,,7.0,,,SR Taylor
2020-02-22,2019/20,Group A,3.0,New Zealand,Sri Lanka,Perth,W.A.C.A. Ground,"['SFM Devine', 'RH Priest', 'SW Bates', 'ML Green', 'KJ Martin', 'KT Perkins', 'AC Kerr', 'HNK Jensen', 'LM Kasperek', 'LMM Tahuhu', 'JM Kerr']","['GWHM Perera', 'AC Jayangani', 'MAA Sanjeewani', 'H Madavi', 'HASD Siriwardene', 'NND de Silva', 'KADA Kanchana', 'WK Dilhari', 'WGAKK Kulasuriya', 'BMSM Kumari', 'KDU Prabodhani']",New Zealand,field,S Redfern,Ahsan Raza,CA Polosak,Nitin Menon,GS Lakshmi,New Zealand,Sri Lanka,,7.0,,,HNK Jensen
2020-02-23,2019/20,Group B,4.0,England,South Africa,Perth,W.A.C.A. Ground,"['AE Jones', 'DN Wyatt', 'NR Sciver', 'HC Knight', 'FC Wilson', 'KH Brunt', 'TT Beaumont', 'L Winfield', 'S Ecclestone', 'A Shrubsole', 'S Glenn']","['L Lee', 'D van Niekerk', 'M Kapp', 'CL Tryon', 'M du Preez', 'S Luus', 'L Wolvaardt', 'T Chetty', 'S Ismail', 'A Khaka', 'N Mlaba']",South Africa,field,CM Brown,L Rusere,Ahsan Raza,Kim Cotton,GS Lakshmi,South Africa,England,,6.0,,,D van Niekerk
2020-02-24,2019/20,Group A,5.0,Australia,Sri Lanka,Perth,W.A.C.A. Ground,"['AJ Healy', 'BL Mooney', 'A Gardner', 'MM Lanning', 'RL Haynes', 'NJ Carey', 'EA Perry', 'JL Jonassen', 'DM Kimmince', 'M Strano', 'ML Schutt']","['GWHM Perera', 'AC Jayangani', 'U Thimashini', 'MAA Sanjeewani', 'NND de Silva', 'KADA Kanchana', 'HASD Siriwardene', 'H Madavi', 'WK Dilhari', 'BMSM Kumari', 'KDU Prabodhani']",Sri Lanka,bat,GO Brathwaite,Kim Cotton,L Rusere,S Redfern,BC Broad,Australia,Sri Lanka,,5.0,,,RL Haynes
2020-02-24,2019/20,Group A,6.0,Bangladesh,India,Perth,W.A.C.A. Ground,"['Shamima Sultana', 'Murshida Khatun', 'Sanjida Islam', 'Nigar Sultana', 'Fargana Hoque', 'Fahima Khatun', 'Jahanara Alam', 'Rumana Ahmed', 'Salma Khatun', 'Nahida Akter', 'Panna Ghosh']","['T Bhatia', 'Shafali Verma', 'JI Rodrigues', 'H Kaur', 'DB Sharma', 'RM Ghosh', 'V Krishnamurthy', 'S Pandey', 'A Reddy', 'Poonam Yadav', 'RS Gayakwad']",Bangladesh,field,Lauren Agenbag,AG Wharf,S Redfern,GO Brathwaite,BC Broad,India,Bangladesh,18.0,,,,Shafali Verma
2020-02-26,2019/20,Group B,7.0,England,Thailand,Canberra,Manuka Oval,"['AE Jones', 'DN Wyatt', 'NR Sciver', 'HC Knight', 'FC Wilson', 'KH Brunt', 'TT Beaumont', 'L Winfield', 'S Ecclestone', 'A Shrubsole', 'S Glenn']","['N Chantam', 'N Boochatham', 'N Koncharoenkai', 'N Chaiwai', 'C Sutthiruang', 'S Tippoch', 'W Liengprasert', 'O Kamchomphu', 'R Padunglerd', 'S Laomi', 'S Lateh']",Thailand,field,JM Williams,Ahsan Raza,CM Brown,S George,SR Bernard,England,Thailand,98.0,,,,HC Knight
2020-02-26,2019/20,Group B,8.0,Pakistan,West Indies,Canberra,Manuka Oval,"['Muneeba Ali', 'Javeria Khan', 'Bismah Maroof', 'Nida Dar', 'Umaima Sohail', 'Iram Javed', 'Aliya Riaz', 'Sidra Nawaz', 'Aiman Anwer', 'Diana Baig', 'Anam Amin']","['HK Matthews', 'LAGL Kirby', 'SR Taylor', 'DJS Dottin', 'SA Campbelle', 'CA Henry', 'CN Nation', 'ASS Fletcher', 'SS Connell', 'A Mohammed', 'SC Selman']",West Indies,bat,CA Polosak,S George,,CM Brown,SR Bernard,Pakistan,West Indies,,8.0,,,Javeria Khan
2020-02-27,2019/20,Group A,9.0,India,New Zealand,Melbourne,Junction Oval,"['Shafali Verma', 'S Mandhana', 'T Bhatia', 'JI Rodrigues', 'H Kaur', 'DB Sharma', 'V Krishnamurthy', 'S Pandey', 'RP Yadav', 'Poonam Yadav', 'RS Gayakwad']","['RH Priest', 'SFM Devine', 'SW Bates', 'ML Green', 'KJ Martin', 'AC Kerr', 'HNK Jensen', 'AM Peterson', 'LM Kasperek', 'LMM Tahuhu', 'RA Mair']",New Zealand,field,L Rusere,AG Wharf,S Redfern,Lauren Agenbag,BC Broad,India,New Zealand,3.0,,,,Shafali Verma
2020-02-27,2019/20,Group A,10.0,Australia,Bangladesh,Canberra,Manuka Oval,"['AJ Healy', 'BL Mooney', 'A Gardner', 'MM Lanning', 'EA Perry', 'RL Haynes', 'A Sutherland', 'NJ Carey', 'G Wareham', 'JL Jonassen', 'ML Schutt']","['Shamima Sultana', 'Murshida Khatun', 'Sanjida Islam', 'Nigar Sultana', 'Fargana Hoque', 'Rumana Ahmed', 'Fahima Khatun', 'Jahanara Alam', 'Salma Khatun', 'Khadija Tul Kubra', 'Nahida Akter']",Australia,bat,Nitin Menon,GO Brathwaite,S George,Ahsan Raza,GS Lakshmi,Australia,Bangladesh,86.0,,,,AJ Healy
2020-02-28,2019/20,Group B,11.0,South Africa,Thailand,Canberra,Manuka Oval,"['L Lee', 'D van Niekerk', 'S Luus', 'CL Tryon', 'M du Preez', 'L Wolvaardt', 'N de Klerk', 'T Chetty', 'S Ismail', 'A Khaka', 'N Mlaba']","['N Chantam', 'N Boochatham', 'N Koncharoenkai', 'N Chaiwai', 'S Tippoch', 'O Kamchomphu', 'C Sutthiruang', 'W Liengprasert', 'S Laomi', 'R Padunglerd', 'S Lateh']",South Africa,bat,JM Williams,Kim Cotton,GO Brathwaite,CA Polosak,SR Bernard,South Africa,Thailand,113.0,,,,L Lee
2020-02-28,2019/20,Group B,12.0,England,Pakistan,Canberra,Manuka Oval,"['DN Wyatt', 'AE Jones', 'NR Sciver', 'HC Knight', 'FC Wilson', 'TT Beaumont', 'KH Brunt', 'L Winfield', 'S Ecclestone', 'A Shrubsole', 'S Glenn']","['Muneeba Ali', 'Javeria Khan', 'Bismah Maroof', 'Nida Dar', 'Iram Javed', 'Umaima Sohail', 'Aliya Riaz', 'Sidra Nawaz', 'Aiman Anwer', 'Diana Baig', 'Sadia Iqbal']",Pakistan,field,CM Brown,Nitin Menon,JM Williams,Kim Cotton,SR Bernard,England,Pakistan,42.0,,,,HC Knight
2020-02-29,2019/20,Group A,13.0,Bangladesh,New Zealand,Melbourne,Junction Oval,"['Murshida Khatun', 'Ayasha Rahman', 'Ritu Moni', 'Nigar Sultana', 'Fargana Hoque', 'Rumana Ahmed', 'Fahima Khatun', 'S Mostary', 'Jahanara Alam', 'Salma Khatun', 'Panna Ghosh']","['SFM Devine', 'RH Priest', 'SW Bates', 'ML Green', 'HNK Jensen', 'KJ Martin', 'AC Kerr', 'AM Peterson', 'LM Kasperek', 'LMM Tahuhu', 'RA Mair']",New Zealand,bat,Lauren Agenbag,Ahsan Raza,L Rusere,AG Wharf,BC Broad,New Zealand,Bangladesh,17.0,,,,HNK Jensen
2020-02-29,2019/20,Group A,14.0,India,Sri Lanka,Melbourne,Junction Oval,"['Shafali Verma', 'S Mandhana', 'H Kaur', 'JI Rodrigues', 'DB Sharma', 'T Bhatia', 'V Krishnamurthy', 'S Pandey', 'RP Yadav', 'Poonam Yadav', 'RS Gayakwad']","['U Thimashini', 'AC Jayangani', 'H Madavi', 'H Karunaratne', 'GWHM Perera', 'HASD Siriwardene', 'NND de Silva', 'MAA Sanjeewani', 'WK Dilhari', 'S Sandeepani', 'KDU Prabodhani']",Sri Lanka,bat,S Redfern,S George,Lauren Agenbag,L Rusere,BC Broad,India,Sri Lanka,,7.0,,,RP Yadav
2020-03-01,2019/20,Group B,15.0,Pakistan,South Africa,Sydney,Sydney Showground Stadium,"['Muneeba Ali', 'Javeria Khan', 'Umaima Sohail', 'Nida Dar', 'Aliya Riaz', 'Sidra Nawaz', 'Iram Javed', 'Aiman Anwer', 'Diana Baig', 'Syeda Aroob Shah', 'Anam Amin']","['L Lee', 'D van Niekerk', 'M Kapp', 'M du Preez', 'L Wolvaardt', 'S Luus', 'CL Tryon', 'T Chetty', 'S Ismail', 'A Khaka', 'N Mlaba']",South Africa,bat,GO Brathwaite,Kim Cotton,Nitin Menon,JM Williams,GS Lakshmi,South Africa,Pakistan,17.0,,,,L Wolvaardt
2020-03-01,2019/20,Group B,16.0,England,West Indies,Sydney,Sydney Showground Stadium,"['DN Wyatt', 'TT Beaumont', 'NR Sciver', 'HC Knight', 'FC Wilson', 'AE Jones', 'KH Brunt', 'A Shrubsole', 'MK Villiers', 'S Ecclestone', 'S Glenn']","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'CN Nation', 'B Cooper', 'LAGL Kirby', 'AA Alleyne', 'ASS Fletcher', 'A Mohammed', 'SC Selman']",England,bat,CM Brown,CA Polosak,Kim Cotton,Nitin Menon,SR Bernard,England,West Indies,46.0,,,,NR Sciver
2020-03-02,2019/20,Group A,17.0,Bangladesh,Sri Lanka,Melbourne,Junction Oval,"['Murshida Khatun', 'Ayasha Rahman', 'Sanjida Islam', 'Nigar Sultana', 'Fargana Hoque', 'Rumana Ahmed', 'Ritu Moni', 'Fahima Khatun', 'Salma Khatun', 'Panna Ghosh', 'Nahida Akter']","['GWHM Perera', 'AC Jayangani', 'MAA Sanjeewani', 'U Thimashini', 'HASD Siriwardene', 'NND de Silva', 'H Madavi', 'WK Dilhari', 'BMSM Kumari', 'WGAKK Kulasuriya', 'KDU Prabodhani']",Bangladesh,bat,S Redfern,AG Wharf,Ahsan Raza,S George,BC Broad,Sri Lanka,Bangladesh,,9.0,,,HASD Siriwardene
2020-03-02,2019/20,Group A,18.0,Australia,New Zealand,Melbourne,Junction Oval,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'EA Perry', 'RL Haynes', 'NJ Carey', 'A Sutherland', 'G Wareham', 'JL Jonassen', 'ML Schutt']","['RH Priest', 'SFM Devine', 'SW Bates', 'ML Green', 'KJ Martin', 'AC Kerr', 'HNK Jensen', 'AM Peterson', 'LM Kasperek', 'LMM Tahuhu', 'RA Mair']",New Zealand,field,L Agenburg,L Rusere,AG Wharf,S Redfern,BC Broad,Australia,New Zealand,4.0,,,,G Wareham
2020-03-03,2019/20,Group B,19.0,Pakistan,Thailand,Sydney,Sydney Showground Stadium,"['Muneeba Ali', 'Javeria Khan', 'Ayesha Naseem', 'Umaima Sohail', 'Aliya Riaz', 'Nida Dar', 'Iram Javed', 'Sidra Nawaz', 'Diana Baig', 'Syeda Aroob Shah', 'Anam Amin']","['N Chantam', 'N Boochatham', 'C Sutthiruang', 'N Koncharoenkai', 'O Kamchomphu', 'N Chaiwai', 'S Tippoch', 'W Liengprasert', 'R Padunglerd', 'S Laomi', 'S Lateh']",Thailand,bat,CM Brown,CA Polosak,JM Williams,GO Brathwaite,SR Bernard,,Pakistan,,,False,,
2020-03-05,2019/20,Semi Final,,Australia,South Africa,Sydney,Sydney Cricket Ground,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'JL Jonassen', 'A Gardner', 'RL Haynes', 'NJ Carey', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']","['L Lee', 'D van Niekerk', 'S Luus', 'M du Preez', 'L Wolvaardt', 'CL Tryon', 'N de Klerk', 'T Chetty', 'S Ismail', 'A Khaka', 'N Mlaba']",South Africa,field,Nitin Menon,Kim Cotton,L Rusere,GO Brathwaite,BC Broad,Australia,South Africa,5.0,,,True,MM Lanning
2020-03-08,2019/20,Final,,Australia,India,Melbourne,Melbourne Cricket Ground,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'RL Haynes', 'NJ Carey', 'S Molineux', 'JL Jonassen', 'G Wareham', 'DM Kimmince', 'ML Schutt']","['Shafali Verma', 'S Mandhana', 'T Bhatia', 'JI Rodrigues', 'H Kaur', 'DB Sharma', 'V Krishnamurthy', 'RM Ghosh', 'S Pandey', 'RP Yadav', 'Poonam Yadav', 'RS Gayakwad']",Australia,bat,Ahsan Raza,Kim Cotton,GO Brathwaite,L Rusere,BC Broad,Australia,India,85.0,,,,AJ Healy
2023-02-10,2022/23,Group 1,1.0,Sri Lanka,South Africa,Cape Town,"Newlands, Cape Town","['H Madavi', 'AC Jayangani', 'RMVD Gunaratne', 'MAA Sanjeewani', 'NND de Silva', 'KADA Kanchana', 'WK Dilhari', 'OU Ranasinghe', 'BMSM Kumari', 'I Ranaweera', 'WGAKK Kulasuriya']","['L Wolvaardt', 'T Brits', 'M Kapp', 'S Luus', 'CL Tryon', 'A Bosch', 'N de Klerk', 'S Jafta', 'S Ismail', 'A Khaka', 'N Mlaba']",South Africa,field,AY Harris,Kim Cotton,Eloise Sheridan,S Redfern,GS Lakshmi,Sri Lanka,South Africa,3.0,,,,AC Jayangani
2023-02-11,2022/23,Group 2,2.0,West Indies,England,Paarl,"Boland Park, Paarl","['HK Matthews', 'SR Taylor', 'SA Campbelle', 'S Gajnabi', 'CA Henry', 'CN Nation', 'ASS Fletcher', 'Z James', 'SS Connell', 'RS Williams', 'SC Selman']","['SIR Dunkley', 'DN Wyatt', 'A Capsey', 'NR Sciver-Brunt', 'HC Knight', 'AE Jones', 'KH Sciver-Brunt', 'S Ecclestone', 'CE Dean', 'S Glenn', 'LK Bell']",West Indies,bat,CA Polosak,VG Rathi,Kim Cotton,Lauren Agenbag,SA Fritz,England,West Indies,,7.0,,,NR Sciver-Brunt
2023-02-11,2022/23,Group 1,3.0,Australia,New Zealand,Paarl,"Boland Park, Paarl","['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'EA Perry', 'GM Harris', 'TM McGrath', 'JL Jonassen', 'A King', 'ML Schutt', 'D Brown']","['SW Bates', 'SFM Devine', 'B Bezuidenhout', 'AC Kerr', 'ML Green', 'HM Rowe', 'HNK Jensen', 'LMM Tahuhu', 'JM Kerr', 'EJ Carson', 'FC Jonas']",New Zealand,field,N Perera,S Redfern,JM Williams,AY Harris,JM Pereira,Australia,New Zealand,97.0,,,,A Gardner
2023-02-12,2022/23,Group 2,4.0,Pakistan,India,Cape Town,"Newlands, Cape Town","['Muneeba Ali', 'Javeria Khan', 'Bismah Maroof', 'Nida Dar', 'Sidra Ameen', 'Ayesha Naseem', 'Aliya Riaz', 'Fatima Sana', 'Aiman Anwer', 'Nashra Sandhu', 'Sadia Iqbal']","['YH Bhatia', 'Shafali Verma', 'JI Rodrigues', 'H Kaur', 'RM Ghosh', 'H Deol', 'DB Sharma', 'P Vastrakar', 'RP Yadav', 'RS Gayakwad', 'Renuka Singh']",Pakistan,bat,JM Williams,Lauren Agenbag,AY Harris,CA Polosak,SA Fritz,India,Pakistan,,7.0,,,JI Rodrigues
2023-02-12,2022/23,Group 1,5.0,Bangladesh,Sri Lanka,Cape Town,"Newlands, Cape Town","['Shamima Sultana', 'Murshida Khatun', 'S Mostary', 'Nigar Sultana', 'Lata Mondal', 'Shorna Akter', 'Ritu Moni', 'Salma Khatun', 'Nahida Akter', 'Jahanara Alam', 'Marufa Akter']","['H Madavi', 'AC Jayangani', 'RMVD Gunaratne', 'MAA Sanjeewani', 'NND de Silva', 'WK Dilhari', 'OU Ranasinghe', 'KADA Kanchana', 'BMSM Kumari', 'I Ranaweera', 'WGAKK Kulasuriya']",Bangladesh,bat,AY Harris,S Redfern,JM Williams,Kim Cotton,GS Lakshmi,Sri Lanka,Bangladesh,,7.0,,,H Madavi
2023-02-13,2022/23,Group 2,6.0,Ireland,England,Paarl,"Boland Park, Paarl","['A Hunter', 'GH Lewis', 'O Prendergast', 'L Delany', 'EAJ Richardson', 'L Little', 'MV Waldron', 'L Paul', 'AN Kelly', 'C Murray', 'J Maguire']","['SIR Dunkley', 'DN Wyatt', 'A Capsey', 'NR Sciver-Brunt', 'HC Knight', 'AE Jones', 'KH Sciver-Brunt', 'S Ecclestone', 'CE Dean', 'S Glenn', 'LK Bell']",Ireland,bat,CA Polosak,N Perera,N Janani,VG Rathi,SA Fritz,England,Ireland,,4.0,,,A Capsey
2023-02-13,2022/23,Group 1,7.0,South Africa,New Zealand,Paarl,"Boland Park, Paarl","['L Wolvaardt', 'T Brits', 'M Kapp', 'S Luus', 'CL Tryon', 'D Tucker', 'N de Klerk', 'S Jafta', 'S Ismail', 'A Khaka', 'N Mlaba']","['B Bezuidenhout', 'SW Bates', 'GE Plimmer', 'AC Kerr', 'SFM Devine', 'ML Green', 'HNK Jensen', 'LMM Tahuhu', 'JM Kerr', 'EJ Carson', 'FC Jonas']",South Africa,bat,Eloise Sheridan,N Janani,CA Polosak,N Perera,JM Pereira,South Africa,New Zealand,65.0,,,,CL Tryon
2023-02-14,2022/23,Group 1,8.0,Bangladesh,Australia,Gqeberha,"St George's Park, Gqeberha","['Shamima Sultana', 'Murshida Khatun', 'S Mostary', 'Nigar Sultana', 'Shorna Akter', 'Rumana Ahmed', 'Ritu Moni', 'Nahida Akter', 'Marufa Akter', 'Fahima Khatun', 'Salma Khatun']","['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'EA Perry', 'TM McGrath', 'GM Harris', 'G Wareham', 'A King', 'ML Schutt', 'D Brown']",Bangladesh,bat,JM Williams,Kim Cotton,S Redfern,AY Harris,GS Lakshmi,Australia,Bangladesh,,8.0,,,G Wareham
2023-02-15,2022/23,Group 2,9.0,West Indies,India,Cape Town,"Newlands, Cape Town","['HK Matthews', 'SR Taylor', 'SA Campbelle', 'CA Henry', 'CN Nation', 'S Gajnabi', 'ASS Fletcher', 'RS Williams', 'SS Connell', 'SC Selman', 'K Ramharack']","['Shafali Verma', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'RM Ghosh', 'DP Vaidya', 'DB Sharma', 'P Vastrakar', 'RP Yadav', 'RS Gayakwad', 'Renuka Singh']",West Indies,bat,Eloise Sheridan,N Perera,CA Polosak,Lauren Agenbag,SA Fritz,India,West Indies,,6.0,,,DB Sharma
2023-02-15,2022/23,Group 2,10.0,Pakistan,Ireland,Cape Town,"Newlands, Cape Town","['Muneeba Ali', 'Javeria Khan', 'Bismah Maroof', 'Nida Dar', 'Ayesha Naseem', 'Aliya Riaz', 'Fatima Sana', 'Aiman Anwer', 'Tuba Hassan', 'Nashra Sandhu', 'Sadia Iqbal']","['A Hunter', 'GH Lewis', 'O Prendergast', 'L Delany', 'EAJ Richardson', 'L Little', 'MV Waldron', 'L Paul', 'AN Kelly', 'C Murray', 'J Maguire']",Ireland,field,CA Polosak,N Janani,Eloise Sheridan,N Perera,JM Pereira,Pakistan,Ireland,70.0,,,,Muneeba Ali
2023-02-16,2022/23,Group 1,11.0,Sri Lanka,Australia,Gqeberha,"St George's Park, Gqeberha","['H Madavi', 'AC Jayangani', 'RMVD Gunaratne', 'OU Ranasinghe', 'MAA Sanjeewani', 'NND de Silva', 'KADA Kanchana', 'M Shehani', 'BMSM Kumari', 'I Ranaweera', 'WGAKK Kulasuriya']","['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'EA Perry', 'TM McGrath', 'GM Harris', 'G Wareham', 'A King', 'ML Schutt', 'D Brown']",Australia,field,AY Harris,JM Williams,Kim Cotton,S Redfern,GS Lakshmi,Australia,Sri Lanka,,10.0,,,AJ Healy
2023-02-17,2022/23,Group 1,12.0,New Zealand,Bangladesh,Cape Town,"Newlands, Cape Town","['B Bezuidenhout', 'SW Bates', 'AC Kerr', 'SFM Devine', 'ML Green', 'GE Plimmer', 'HM Rowe', 'LMM Tahuhu', 'JM Kerr', 'MM Penfold', 'EJ Carson']","['Shamima Sultana', 'Murshida Khatun', 'S Mostary', 'Nigar Sultana', 'Shorna Akter', 'Rumana Ahmed', 'Ritu Moni', 'Nahida Akter', 'Fahima Khatun', 'Salma Khatun', 'Marufa Akter']",New Zealand,bat,Lauren Agenbag,N Janani,VG Rathi,Eloise Sheridan,SA Fritz,New Zealand,Bangladesh,71.0,,,,SW Bates
2023-02-17,2022/23,Group 2,13.0,Ireland,West Indies,Cape Town,"Newlands, Cape Town","['A Hunter', 'GH Lewis', 'O Prendergast', 'EAJ Richardson', 'L Little', 'L Delany', 'AN Kelly', 'MV Waldron', 'L Paul', 'C Murray', 'J Maguire']","['HK Matthews', 'RS Williams', 'SA Campbelle', 'CA Henry', 'S Gajnabi', 'AA Alleyne', 'Z James', 'T Holder', 'ASS Fletcher', 'K Ramharack', 'SS Connell']",Ireland,bat,Eloise Sheridan,VG Rathi,Lauren Agenbag,N Janani,SA Fritz,West Indies,Ireland,,6.0,,,HK Matthews
